Word,BSL Rank,SFI,U,D,F
debenture,1004,51.39,13.78,0.7153,1114
collar,1005,52.31,17.02,0.9856,1112
outperform,1006,51.77,15.03,0.8251,1112
irrelevant,1007,52.31,17.04,0.9881,1111
diamond,1008,51.8,15.14,0.8164,1111
optimize,1009,51.32,13.55,0.7205,1110
promotional,1010,51.93,15.59,0.8747,1109
broadband,1011,51.01,12.62,0.5882,1109
reactor,1012,51,12.6,0.5879,1109
traveler,1013,52.25,16.8,0.9714,1108
equality,1014,52.26,16.81,0.9741,1107
entail,1015,52.24,16.77,0.9708,1107
compile,1016,52.24,16.74,0.9689,1107
circulation,1017,52.12,16.28,0.9338,1106
petition,1018,52.09,16.18,0.9215,1105
attributable,1019,51.83,15.25,0.8575,1104
revolutionary,1020,51.85,15.32,0.8467,1103
carmaker,1021,49.91,9.79,0.3134,1103
discretionary,1022,52.06,16.06,0.9222,1102
reconciliation,1023,52.17,16.5,0.9541,1101
