This list contains a sample (every seventh entry) of the the top 60,000 lemmas from the 
Corpus of Contemporary American English (COCA) (http://corpus.byu.edu/coca/).
You can also donwload an Excel verion: http://www.wordfrequency.info/files/wordlist_60k.xls

Note that this is the *only* frequency list of English that is corrected for a list this large.
All other frequency lists (if they are corrected at all, to remove bad entries) only correct the top 5,000 or 10,000 words.

It is also possible to purchase lists with the 200-300 most frequent collocates for each of the 
60,000 words in the frequency list.


For more information:

http://www.wordfrequency.info: Word frequency lists
http://corpus.byu.edu/coca/: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies

-------------------------------------------------------------------

Note that there are many lower-frequency words (e.g. #35,000-40,000 and lower) that are probably really NOUN,
but which are tagged as ADJ because they have an ADJ "function" (e.g. a *weight-training* regimen, a *sibilant* consonant). 


freq = frequency in the corpus
dispersion = Juilland's <d> dispersion measure (0-1): how "evenly" the lemma is distributed across the corpus
rank = a function of score (not shown here), but which is calculated as: freq * disp
pos = part of speech (see http://ucrel.lancs.ac.uk/claws7tags.html)


rank	lemma	PoS	freq	dispersion
2331	another	p	14441	0.96
2338	boss	n	14587	0.95
2345	enhance	v	15393	0.90
2352	entry	n	14643	0.94
2359	mood	n	14227	0.96
2366	Asian	j	14873	0.92
2373	concentrate	v	14155	0.96
2380	approximately	r	15172	0.89
2387	round	n	14539	0.93
2394	commission	n	14371	0.94
2401	so-called	j	14065	0.96
2408	capable	j	13933	0.96
2415	pray	v	14006	0.95
2422	objective	n	15107	0.88
2429	mixture	n	14856	0.89
2436	dimension	n	14965	0.88
2443	shape	v	13859	0.94
2450	implication	n	14791	0.88
2457	recognition	n	14249	0.91
2464	corn	n	13739	0.94
2471	salary	n	13885	0.93
2478	pretty	j	13951	0.92
2485	literally	r	13425	0.95
2492	exhibition	n	13987	0.91
2499	date	v	13231	0.96
2506	smoke	v	13438	0.94
2513	fifth	m	13150	0.96
2520	weigh	v	13051	0.96
2527	elementary	j	13831	0.90
2534	channel	n	12975	0.96
2541	roll	n	13053	0.95
2548	Palestinian	j	14008	0.88
2555	giant	j	12963	0.95
2562	specialist	n	13041	0.94
2569	quietly	r	13503	0.91
2576	shell	n	12957	0.94
2583	onion	n	13769	0.88
2590	criteria	n	14160	0.86
2597	arise	v	13351	0.91
2604	normally	r	12402	0.97
2611	activist	n	12737	0.94
2618	corporation	n	12612	0.95
2625	barrier	n	12772	0.93
2632	classic	j	12610	0.94
2639	advocate	n	12565	0.94
2646	distant	j	12542	0.94
2653	Italian	j	12384	0.95
2660	spin	v	12673	0.92
2667	super	j	12586	0.92
2674	bunch	n	12225	0.95
2681	burden	n	12054	0.96
2688	communicate	v	12179	0.94
2695	disagree	v	12280	0.93
2702	bear	n	12194	0.94
2709	cabinet	n	11846	0.96
2716	literary	j	12801	0.88
2723	overcome	v	11801	0.96
2730	cousin	n	12155	0.93
2737	adviser	n	12112	0.93
2744	slave	n	11863	0.94
2751	expansion	n	12054	0.92
2758	tight	j	11641	0.95
2765	conservative	n	11941	0.92
2772	interpret	v	12321	0.89
2779	fiction	n	11701	0.94
2786	senator	n	12091	0.91
2793	boundary	n	12082	0.90
2800	raw	j	11310	0.96
2807	testify	v	11843	0.92
2814	advanced	j	11626	0.93
2821	delivery	n	11323	0.95
2828	attractive	j	11119	0.97
2835	regularly	r	11329	0.95
2842	unknown	j	11095	0.96
2849	transfer	n	11830	0.90
2856	craft	n	11559	0.92
2863	episode	n	11070	0.96
2870	shortly	r	10864	0.97
2877	assault	n	11039	0.95
2884	headquarters	n	11135	0.94
2891	shelter	n	10891	0.96
2898	defensive	j	11442	0.91
2905	spot	v	11143	0.93
2912	convert	v	10990	0.94
2919	appeal	v	10745	0.96
2926	violate	v	10822	0.95
2933	vital	j	10866	0.94
2940	poet	n	10840	0.94
2947	Irish	j	10833	0.94
2954	significance	n	11520	0.88
2961	mm-hmm	u	13755	0.73
2968	grandfather	n	11003	0.91
2975	garlic	n	11449	0.87
2982	doubt	v	10352	0.96
2989	ongoing	j	10721	0.93
2996	fellow	n	10339	0.96
3003	shade	n	10677	0.92
3010	palm	n	11014	0.89
3017	efficient	j	10452	0.94
3024	closer	j	9976	0.98
3031	besides	r	10537	0.92
3038	limitation	n	11038	0.88
3045	incredible	j	10342	0.93
3052	educate	v	10171	0.95
3059	tendency	n	10642	0.90
3066	efficiency	n	10579	0.91
3073	helpful	j	10120	0.94
3080	surprise	v	10023	0.95
3087	trick	n	10041	0.94
3094	proposed	j	10288	0.92
3101	tennis	n	9985	0.94
3108	purchase	n	10001	0.94
3115	suspect	n	10204	0.91
3122	provider	n	10196	0.91
3129	punishment	n	9986	0.93
3136	request	v	9619	0.96
3143	principal	n	9920	0.93
3150	Palestinian	n	10484	0.88
3157	motor	n	9977	0.92
3164	orange	j	9755	0.94
3171	cabin	n	9955	0.92
3178	pine	n	9824	0.93
3185	absolute	j	9622	0.94
3192	appoint	v	9541	0.95
3199	shit	n	11047	0.82
3206	naked	j	9897	0.91
3213	fly	n	9689	0.93
3220	flame	n	9716	0.92
3227	institutional	j	10397	0.86
3234	furthermore	r	10349	0.86
3241	weekly	j	9297	0.95
3248	measurement	n	10187	0.87
3255	wise	j	9101	0.97
3262	medium	n	9523	0.92
3269	firm	j	9036	0.97
3276	basket	n	9316	0.94
3283	ugly	j	9267	0.94
3290	cookie	n	9480	0.91
3297	awful	j	9300	0.93
3304	killing	n	9109	0.95
3311	transformation	n	9561	0.90
3318	adequate	j	9406	0.91
3325	high	r	8771	0.97
3332	prescription	n	9169	0.93
3339	consensus	n	9250	0.91
3346	courage	n	8720	0.97
3353	clue	n	8732	0.97
3360	sacred	j	9018	0.93
3367	uncle	n	9355	0.90
3374	cool	v	8980	0.93
3381	lap	n	9260	0.90
3388	makeup	n	8916	0.93
3395	favor	n	8530	0.97
3402	compose	v	8866	0.93
3409	adolescent	n	10568	0.78
3416	gentle	j	8766	0.93
3423	fit	j	8550	0.95
3430	interrupt	v	8757	0.93
3437	stem	n	8963	0.90
3444	jeans	n	8851	0.91
3451	compound	n	8573	0.94
3458	subtle	j	8442	0.95
3465	cry	n	8648	0.93
3472	final	n	8964	0.89
3479	export	n	9013	0.88
3486	net	j	8563	0.93
3493	exclude	v	8780	0.90
3500	favor	i	8357	0.94
3507	excuse	v	8722	0.90
3514	T-shirt	n	8386	0.94
3521	reverse	v	8154	0.96
3528	reliable	j	8302	0.94
3535	occasional	j	8162	0.95
3542	confuse	v	8045	0.96
3549	plead	v	8140	0.95
3556	implementation	n	9293	0.83
3563	render	v	8288	0.93
3570	lens	n	8313	0.92
3577	fraud	n	8176	0.93
3584	rat	n	8177	0.93
3591	monster	n	8164	0.93
3598	rip	v	8164	0.93
3605	top	v	8162	0.92
3612	nightmare	n	7895	0.95
3619	possession	n	7828	0.96
3626	project	v	7871	0.95
3633	warrior	n	7975	0.93
3640	outdoor	j	8101	0.92
3647	past	r	7921	0.94
3654	domain	n	8641	0.86
3661	walking	n	7847	0.94
3668	aim	n	7973	0.92
3675	welcome	j	7798	0.94
3682	peaceful	j	7704	0.95
3689	simultaneously	r	7960	0.92
3696	await	v	7550	0.96
3703	virtual	j	7776	0.93
3710	towel	n	7978	0.91
3717	blue	n	7671	0.94
3724	sweat	n	8036	0.89
3731	research	v	7618	0.94
3738	wherever	r	7382	0.97
3745	accommodate	v	7571	0.94
3752	mandate	n	7704	0.92
3759	short	r	7495	0.95
3766	currency	n	7753	0.91
3773	turkey	n	7757	0.91
3780	compromise	n	7469	0.94
3787	fork	n	7742	0.91
3794	finish	n	7585	0.92
3801	pleasant	j	7433	0.94
3808	frozen	j	7474	0.93
3815	pension	n	7660	0.91
3822	bounce	v	7451	0.93
3829	dedicate	v	7226	0.96
3836	ship	v	7264	0.95
3843	transaction	n	7418	0.93
3850	noon	n	7425	0.92
3857	anxious	j	7096	0.96
3864	poster	n	7069	0.96
3871	magic	n	7415	0.92
3878	jazz	n	7220	0.94
3885	evil	j	7045	0.96
3892	punish	v	6955	0.97
3899	guidance	n	7399	0.91
3906	gym	n	7229	0.93
3913	destination	n	7039	0.95
3920	bath	n	7149	0.93
3927	bold	j	6936	0.96
3934	age	v	7005	0.95
3941	realm	n	7261	0.91
3948	pizza	n	7130	0.93
3955	bias	n	7388	0.89
3962	entity	n	7276	0.90
3969	servant	n	7064	0.93
3976	trail	v	7049	0.93
3983	starter	n	7487	0.87
3990	value	v	7000	0.93
3997	productive	j	7006	0.93
4004	steep	j	6972	0.93
4011	angel	n	6978	0.92
4018	disappointed	j	6724	0.96
4025	enroll	v	7053	0.91
4032	stumble	v	7076	0.91
4039	hook	v	6800	0.94
4046	cooperate	v	6763	0.94
4053	seal	v	6660	0.96
4060	lately	r	6696	0.95
4067	undertake	v	7044	0.90
4074	tribal	j	6995	0.90
4081	way	r	6604	0.95
4088	elder	n	6808	0.92
4095	Greek	j	6642	0.94
4102	juror	n	7497	0.83
4109	loyalty	n	6604	0.94
4116	stiff	j	6697	0.93
4123	alleged	j	6658	0.93
4130	bow	n	6800	0.91
4137	sword	n	7029	0.88
4144	carpet	n	6658	0.93
4151	dilemma	n	6703	0.92
4158	improved	j	6720	0.91
4165	associated	j	6754	0.90
4172	steam	n	6426	0.95
4179	unite	v	6391	0.95
4186	statute	n	6838	0.88
4193	symbolic	j	6755	0.89
4200	root	v	6276	0.96
4207	mixed	j	6327	0.95
4214	grasp	v	6357	0.94
4221	rent	n	6360	0.94
4228	afterward	r	6353	0.94
4235	reliability	n	7053	0.84
4242	thigh	n	6576	0.90
4249	ideological	j	6793	0.87
4256	neutral	j	6331	0.93
4263	conspiracy	n	6261	0.94
4270	star	v	6328	0.92
4277	ministry	n	6250	0.93
4284	manipulate	v	6159	0.94
4291	puzzle	n	6153	0.94
4298	earthquake	n	6439	0.90
4305	creativity	n	6452	0.89
4312	jump	n	6088	0.95
4319	syndrome	n	6157	0.93
4326	presumably	r	6039	0.95
4333	dissolve	v	6157	0.93
4340	expected	j	6144	0.93
4347	cast	n	6007	0.95
4354	fortunately	r	5974	0.95
4361	flexibility	n	6149	0.92
4368	equivalent	n	5935	0.95
4375	sibling	n	6102	0.92
4382	soap	n	5952	0.94
4389	passing	j	5903	0.95
4396	franchise	n	6332	0.88
4403	correctly	r	5884	0.95
4410	heal	v	5797	0.96
4417	sensation	n	5882	0.94
4424	pro	j	6101	0.91
4431	comprise	v	6258	0.88
4438	dam	n	5968	0.92
4445	patent	n	6024	0.91
4452	disabled	j	5952	0.92
4459	associate	j	5859	0.94
4466	case	c	5791	0.94
4473	attendance	n	5963	0.92
4480	stimulate	v	5898	0.92
4487	stance	n	5812	0.94
4494	proclaim	v	5716	0.95
4501	ideal	n	5978	0.90
4508	sack	n	5880	0.92
4515	shrink	v	5617	0.96
4522	rational	j	5941	0.91
4529	vocal	j	5727	0.94
4536	deploy	v	5674	0.94
4543	chunk	n	5682	0.94
4550	migration	n	6067	0.88
4557	wound	v	5660	0.94
4564	robot	n	6023	0.88
4571	likewise	r	5821	0.91
4578	perceived	j	6386	0.83
4585	joke	v	5576	0.95
4592	added	j	5616	0.94
4599	sneak	v	5690	0.92
4606	legally	r	5484	0.96
4613	pile	v	5609	0.93
4620	liberal	n	5677	0.92
4627	mineral	n	5758	0.91
4634	equality	n	5841	0.89
4641	carrot	n	5718	0.91
4648	isolated	j	5482	0.95
4655	sponsor	n	5622	0.92
4662	chill	n	5675	0.91
4669	vendor	n	5543	0.93
4676	auction	n	5621	0.91
4683	comparable	j	5600	0.91
4690	interval	n	5708	0.89
4697	strain	v	5435	0.94
4704	bulk	n	5324	0.96
4711	liver	n	5415	0.94
4718	goat	n	5459	0.93
4725	cruise	n	5434	0.93
4732	part	i	5503	0.91
4739	impulse	n	5305	0.95
4746	poke	v	5575	0.90
4753	dancing	n	5243	0.95
4760	light	i	5458	0.91
4767	distinctive	j	5373	0.92
4774	straw	n	5297	0.94
4781	objection	n	5276	0.94
4788	denial	n	5207	0.95
4795	screw	v	5361	0.92
4802	mention	n	5137	0.96
4809	grape	n	5318	0.92
4816	clay	n	5287	0.93
4823	homework	n	5093	0.96
4830	molecule	n	5445	0.89
4837	freely	r	5085	0.96
4844	accountability	n	5409	0.90
4851	spark	v	5071	0.96
4858	bucket	n	5233	0.92
4865	marble	n	5210	0.93
4872	explicit	j	5461	0.88
4879	neighboring	j	5082	0.95
4886	harvest	n	5125	0.94
4893	spy	n	5076	0.94
4900	ridge	n	5229	0.91
4907	specify	v	5379	0.89
4914	swell	v	5125	0.93
4921	sudden	r	5211	0.91
4928	tile	n	5200	0.91
4935	foreigner	n	5076	0.93
4942	plea	n	5000	0.95
4949	bulb	n	5157	0.92
4956	seller	n	5083	0.93
4963	boring	j	4922	0.96
4970	warehouse	n	5020	0.94
4977	nationwide	r	5104	0.92
4984	stereotype	n	5109	0.92
4991	pistol	n	5261	0.89
4998	website	n	5336	0.88
5005	bizarre	j	4885	0.96
5012	scrutiny	n	4884	0.95
5019	hunt	n	4975	0.93
5026	videotape	n	5145	0.90
5033	march	n	4844	0.95
5040	congregation	n	4954	0.93
5047	marijuana	n	5118	0.90
5054	rejection	n	5009	0.91
5061	autumn	n	4916	0.93
5068	objective	j	5140	0.89
5075	surrender	v	4735	0.96
5082	inspect	v	4755	0.96
5089	caller	n	4998	0.91
5096	voice	v	4690	0.96
5103	sketch	n	4801	0.94
5110	combat	v	4737	0.95
5117	ward	n	4712	0.95
5124	reasonably	r	4692	0.95
5131	knot	n	4880	0.92
5138	creator	n	4697	0.95
5145	glow	n	4925	0.90
5152	creep	v	4935	0.90
5159	farming	n	4750	0.93
5166	inability	n	4797	0.92
5173	mandatory	j	4687	0.94
5180	bass	n	4927	0.89
5187	mature	j	4648	0.94
5194	between	r	4509	0.97
5201	breakdown	n	4575	0.96
5208	spin	n	4627	0.94
5215	taxi	n	4728	0.92
5222	loving	j	4532	0.96
5229	passionate	j	4505	0.96
5236	hood	n	4725	0.92
5243	charming	j	4722	0.92
5250	adaptation	n	4851	0.89
5257	double	n	4634	0.93
5264	sympathetic	j	4448	0.97
5271	litigation	n	4741	0.90
5278	choke	v	4669	0.92
5285	delegate	n	5281	0.81
5292	affordable	j	4642	0.92
5299	robe	n	4850	0.88
5306	pin	v	4597	0.92
5313	acute	j	4758	0.89
5320	gown	n	4638	0.91
5327	persistent	j	4513	0.93
5334	architectural	j	4568	0.92
5341	endangered	j	4553	0.92
5348	nationally	r	4497	0.93
5355	anything	r	4334	0.96
5362	rap	n	4542	0.91
5369	established	j	4542	0.91
5376	rear	n	4522	0.92
5383	attain	v	4654	0.89
5390	urgent	j	4277	0.96
5397	confine	v	4385	0.94
5404	strand	n	4433	0.93
5411	bead	n	4436	0.92
5418	hazardous	j	4742	0.86
5425	merge	v	4287	0.95
5432	grind	v	4291	0.95
5439	shotgun	n	4440	0.91
5446	transplant	n	4362	0.93
5453	evolutionary	j	4545	0.89
5460	champagne	n	4375	0.92
