四六级,主词,衍生词,COCA衍生词
四,brilliant,brilliance,
四,bring,,brought
六,brink,,
六,brisk,,
四,broad,broaden;breadth,broadly
四,broadcast,,
四,brochure,,
四,broke,,
四,broker,,
六,bronze,,
六,brood,,
四,broom,,
四,brother,,
四,brow,,
四,brown,,
四,browse,browser,
六,bruise,,
四,brunch,,
四,brush,,
四,brutal,brutality,
四,bubble,,
四,buck,,
四,bucket,,
四,buckle,,
四,bud,,
六,Buddhism,Buddhist,
四,buddy,,
四,budget,budgetary,
六,buffalo,,
六,buffer,,
四,buffet,,
四,bug,,
四,build,building,rebuild(高考);builder;built
四,bulb,,
四,bulk,bulky,
四,bull,,
四,bullet,,
四,bulletin,,
四,bully,,
四,bump,,
四,bumper,,
四,bunch,,
四,bundle,,
四,burden,,
四,bureau,,
六,bureaucrat,bureaucratic;bureaucracy,
六,burglar,burglary,
四,burn,,burning
四,burst,,
四,bury,burial,
四,bus,,
四,bush,bushy,
四,business,,
四,businessman,,
六,bust,,
四,busy,,
四,but,,
四,butcher,,
六,butt,,
四,butter,,
四,butterfly,,
四,button,,
四,buy,buyer,buying;bought
六,buzz,,
四,by,,
四,bypass,,
四,bystander,,
四,cab,,
四,cabbage,,
四,cabin,,
四,cabinet,,
四,cable,,
四,cafe,,
四,cafeteria,,
四,cage,,
四,cake,,
六,calcium,,
四,calculate,calculation;calculator;calculating,
四,calendar,,
四,calf,,
四,call,,caller
四,calling,,
四,calm,,
四,calorie,,
四,camel,,
四,camera,,
四,camp,,
四,campaign,,
四,campus,,
四,can,,cannot;can't;couldn't
四,canal,,
四,cancel,cancelation,
四,cancer,,
四,candidate,candidacy,
四,candle,,
四,candy,,
四,cane,,
六,cannon,,
六,canoe,,
四,canteen,,
六,canvas,,
四,cap,,
四,capable,capability,
四,capacity,,
六,cape,,
四,capital,capitalist;capitalism,
六,capsule,,
四,captain,,
六,caption,,
六,captive,,
四,capture,,
四,car,,
六,caravan,,
六,carbohydrate,,
四,carbon,,
四,card,,
四,cardboard,,
六,cardinal,,
四,care,careful;careless,carefully(COCA/初中);caregiver
四,career,,
四,cargo,,
四,carpenter,,
四,carpet,,
四,carriage,,
四,carrier,,
四,carrot,,
四,carry,,
四,cart,,
六,carton,,
四,cartoon,cartoonist,
六,carve,carving,
四,case,,
四,cash,,
四,cashier,,
六,casino,,
四,cast,,
四,castle,,
四,casual,,casually
六,casualty,,
四,cat,,
四,catalog(ue),,
六,catastrophe,catastrophic,
四,catch,,caught
四,category,,
四,cater,,
六,cathedral,,
六,Catholic,,
四,cattle,,
六,cauliflower,,
四,cause,,
四,caution,cautious,
四,cave,,
六,cavity,,
四,cease,,
四,ceiling,,
四,celebrate,celebration,
六,celebrity,,
四,cell,,
四,cellar,,
四,cell-phone,,
四,Celsius/-cius,,
四,cement,,
六,cemetery,,
六,censor,censorship,
六,census,,
四,cent,,
四,center/-tre,central;centralize/-ise,
四,centigrade,,
四,centimeter/-tre,,
四,century,,
六,ceramic,,
四,cereal,,
四,ceremony,ceremonial,
四,certain,certainly;certainty,
四,certificate,,
六,certify,certification,
四,chain,,
四,chair,,
四,chairman/chairperson,,
四,chalk,,
四,challenge,challenging,
六,chamber,,
四,champagne,,
四,champion,championship,
四,chance,,
六,chancellor,,
四,change,,changeable(高考);changing
四,channel,,
六,chant,,
四,chaos,chaotic,
六,chapel,,
四,chapter,,
四,character,characteristic;characterize/-ise,
四,charge,,
四,charity,charitable,
四,charm,charming,
四,chart,,
四,charter,,
四,chase,,
四,chat,,
四,cheap,,
四,cheat,,
四,check/cheque,,
四,cheek,,
四,cheer,cheerful,cheers(高考)
四,cheese,,
四,chef,,
四,chemistry,chemical;chemist,
四,cherish,,
四,chess,,
四,chest,,
四,chew,,
四,chicken,,
四,chief,,
四,child/children,childish,childhood(高考)
四,chill,chilly,
四,chimney,,
四,chin,,
四,china,,
四,chip,,
四,chocolate,,
四,choice,,
六,choir,,
四,choke,,
四,cholesterol,,
四,choose,choosy,
四,chop,,chopped
四,chopstick,,
六,chord,,
四,chore,,
四,chorus,,
四,Christ,Christmas;Christian;Christianity,
六,chronic,chronically,
六,chronicle,,
六,chunk,,
四,church,,
四,cigar,,
四,cigarette/cigaret,cigaret(te),
四,cinema,,
四,circle,circular,semicircle(高考)
四,circuit,,
四,circulate,circulation,
四,circumstance,,
四,circus,,
四,cite,citation,
四,citizen,citizenship,
四,city,,
六,civic,,
四,civil,civilize/-ise;civilization/-sation,
四,civilian,,
四,claim,,
六,clamp,,
六,clan,,
四,clap,,
四,clarity,clarify;clarification,
四,clash,,
六,clasp,,
四,class,,
四,classic,classical,
四,classify,classification;classified,
四,classmate,,
四,classroom,,
四,clause,,
四,claw,,
四,clay,,
四,clean,,cleaner(高考);cleanup;cleaning
六,cleanse,,
