#freq	word	小学	初中	高中	大学	大学教纲	新概念	四级	六级	考研	专四	专八	BEC	CATTI	IELTS	TOEFL	SAT	GRE	GMAT	MBA	TOEIC
640	black	1	1	1		1	1	1	1	1			1	1						1	
644	picture	1	1	1	1	1	1	1	1	1				1						1	
646	broke		1																	1	
647	pass		1	1		1	1	1	1	1				1	1				1	1	
648	tired	1	1	1		1	1	1	1	1										1	
651	quiet	1	1	1		1	1	1	1	1										1	
652	anywhere		1	1		1	1	1	1	1										1	
653	wear	1	1	1		1	1	1	1	1				1						1	
654	finish	1	1	1		1	1	1	1	1				1						1	
655	mistake		1	1		1	1	1	1	1				1						1	
656	ride	1	1	1		1	1	1	1	1										1	
657	fault		1	1		1		1	1	1					1	1		1	1	1	
660	quick	1	1	1		1		1	1	1										1	
661	choice		1	1		1	1	1	1	1								1		1	
662	act	1	1	1		1	1	1	1	1				1						1	
663	cannot		1																		
664	given		1		1	1		1							1						
666	child	1	1	1		1		1	1	1										1	
668	shall		1	1		1		1	1	1										1	
669	worried		1	1		1															
670	dog	1	1	1		1	1	1	1	1			1							1	
671	sister	1	1	1		1	1	1	1	1										1	
672	red	1	1	1		1	1	1	1	1			1							1	
673	coffee	1	1	1		1	1	1	1	1	1									1	
674	spend	1	1	1		1	1	1	1	1										1	
676	mouth	1	1	1		1	1	1	1	1				1		1				1	
677	certainly		1	1		1	1	1	1	1											
678	yesterday	1	1	1		1		1	1	1										1	
679	sitting					3															
680	attention		1	1		1	1	1	1	1						1				1	
681	stick	1	1	1		1	1	1	1	1	1				1	1				1	
682	daughter	1	1	1		1	1	1	1	1										1	
683	date		1	1		1	1	1	1	1					1	1				1	
684	power		1	1	1	1	1	1	1	1				1			1		1	1	
685	gun		1	1		1		1	1	1				1						1	
686	mad		1			1	1	1	1	1	1										1
688	middle		1	1		1	1	1	1	1				1						1	
691	write	1	1	1		1		1	1	1										1	
692	human		1	1	1	1	1	1	1	1				1						1	
694	wake			1		1	1	1	1	1				1						1	
697	others	1																			
699	month	1	1	1		1	1	1	1	1				1						1	
700	across		1	1		1	1	1	1	1				1						1	
702	table	1	1	1		1	1	1	1	1							1	1		1	
703	appreciate		1	1	1	1	1	1	1	1	1		1	1	1	1		1		1	
704	ran		1																		
705	simple	1	1	1		1	1	1	1	1											
706	suppose		1	1		1	1	1	1	1						1				1	
707	bitch					3															
708	secret		1	1		1	1	1	1	1						1				1	
709	personal		1	1	1	1	1	1	1	1				1	1					1	
710	blow		1	1		1	1	1	1	1				1						1	
711	short	1	1	1		1	1	1	1	1										1	
712	instead		1	1		1	1	1	1	1	1			1						1	
713	near	1	1	1	1	1	1	1	1	1				1						1	
714	fair		1	1		1	1	1	1	1	1									1	
715	terrible	1	1	1		1	1	1	1	1										1	
716	dream		1	1		1	1	1	1	1										1	
717	relax		1	1	1	1	1	1	1	1						1				1	
718	evening	1	1	1		1	1	1	1	1	1									1	
719	smart	1	1	1	1	1	1	1	1	1	1				1	1		1		1	
720	happening			1																	
721	clothes	1	1	1		1		1	1	1										1	
723	win	1	1	1		1	1	1	1	1				1							
724	cover		1	1	1	1	1	1	1	1						1				1	
725	seven	1	1	1		1		1	1	1										1	
